job_title,location,job_type,experience_level,salary,requirements,excel,tableau,power_bi,sql,python
Data Scientist,India,Full Time,Entry-level,40000.0,"Banking,Chatbots,Data analysis,Engineering,FinTech,Machine Learning",no,no,no,no,no
Data Quality Assurance Specialist,"Chicago, IL",Full Time,Senior-level,69000.0,"Biology,Computer Science,Data quality,Data visualization,Engineering,Genetics",no,no,no,no,no
"Site Reliability Engineer, Datastores (Hybrid)","Lisbon, Portugal or United Kingdom",Full Time,Senior-level,62000.0,"AWS,DynamoDB,Elasticsearch,Kafka,Kubernetes,Linux",no,no,no,no,no
"Customer Success  ML Engineer, Onboarding Specialist",Remote,Full Time,Entry-level,90000.0,"APIs,AWS,Azure,Consulting,Deep Learning,Drones",no,no,no,no,no
Data Science Engineer,United Kingdom,Full Time,Mid-level,51000.0,"AWS,Bayesian,Docker,Engineering,Git,Machine Learning",no,no,no,no,no
Digital Analytics Engineer,"Munich, Germany",Full Time,Senior-level,110000.0,"Consulting,GCP,Google Cloud,Looker,Power BI,Privacy",no,no,yes,no,no
"Data Scientist, Marketing",Remote - US,Full Time,Senior-level,120000.0,"Airflow,AWS,Data Analytics,Data pipelines,Engineering,Looker",no,no,no,no,no
Master Data Team Manager,"Greenville, SC, United States",Full Time,Executive-level,73000.0,"Data quality,Industrial,,,,",no,no,no,no,no
"Data Engineer, Enterprise Engineering","Toronto, ON, Canada",Full Time,Senior-level,115000.0,"Airflow,AWS,Banking,Blockchain,Crypto,CX",no,no,no,no,no
Data Operations Associate,Serbia,Full Time,Entry-level,39000.0,"Architecture,AWS,DataOps,Engineering,Privacy,Python",no,no,no,no,yes
Data Analyst,"Chicago, Illinois, United States",Full Time,Senior-level,92000.0,"Airflow,AWS,Big Data,Bitbucket,Data Analytics,Excel",no,no,no,no,no
Staff ML Engineer (8627),"Toronto, Canada",Full Time,Senior-level,131000.0,"Bayesian,Big Data,Computer Science,Docker,Engineering,Git",no,no,no,no,no
Specialist Architect : Big Data,Remote - India,Full Time,Senior-level,49000.0,"Architecture,AWS,Azure,Big Data,Consulting,Data Analytics",no,no,no,no,no
Research Engineer in Multi Agent Path Finding for Mobile Robots (f/m/div.),"Renningen, Germany",Full Time,Entry-level,105000.0,"Agile,Computer Science,Deep Learning,Industrial,Linux,Machine Learning",no,no,no,no,no
"Product Marketing Manager, Data Engineering",United States,Full Time,Senior-level,115000.0,"Computer Science,Databricks,Engineering,ETL,Excel,MLFlow",no,no,no,no,no
Machine Learning Engineer,"Antwerp, Belgium",Full Time,Entry-level,30000.0,"AWS,Azure,Big Data,Computer Science,Computer Vision,Consulting",no,no,no,no,no
CV/ML Engineer for 3D Virtual Humans - Remote ope,"Remote, Germany",Full Time,Senior-level,131000.0,"Computer Science,Computer Vision,Deep Learning,Engineering,Machine Learning,ML models",no,no,no,no,no
Data Engineer - Data Bricks,"Gurgaon, Noida, Kolkata, Jaipur, Ahmedabad, Indore, Pune, ",Full Time,Senior-level,115000.0,"Agile,APIs,Azure,Databricks,Data management,Data pipelines",no,no,no,no,no
Director AI Science,"Palo Alto, CA",Full Time,Executive-level,81000.0,"Banking,Computer Science,Conversational AI,Data analysis,Industrial,LLMs",no,no,no,no,no
Researcher- Business Intelligence,"New Delhi, Delhi, India",Full Time,Entry-level,35000.0,"Business Intelligence,Excel,Finance,Research,,",no,no,no,no,no
Machine Learning Research Scientist,"Mountain View, California (HQ)",Full Time,Entry-level,167000.0,"Computer Science,Data pipelines,Deep Learning,ICLR,ICML,Machine Learning",no,no,no,no,no
"Staff Database Reliability Engineer, Datastores",United States,Full Time,Senior-level,236000.0,"Architecture,AWS,Consulting,Distributed Systems,DynamoDB,Engineering",no,no,no,no,no
"Data Scientist - Viator, London, Oxford, UK Remote",United Kingdom,Full Time,Senior-level,129000.0,"A/B testing,Bayesian,CI/CD,Computer Vision,Deep Learning,E-commerce",no,no,no,no,no
Data Engineer,London/Manchester (Hybrid),Full Time,Senior-level,115000.0,"Airflow,Architecture,AWS,Data pipelines,Engineering,FiveTran",no,no,no,no,no
Data Analyst,Bangkok,Full Time,Senior-level,92000.0,"A/B testing,Banking,Business Intelligence,Computer Science,Consulting,Data analysis",no,no,no,no,no
Associate AI/ML Engineer,Remote,Full Time,Mid-level,77000.0,"Computer Science,Engineering,GitHub,Machine Learning,Mathematics,ML models",no,no,no,no,no
Azure Data Architect,"Marseille, France",Full Time,Senior-level,62000.0,"Architecture,Azure,Business Intelligence,DevOps,Machine Learning,SQL",no,no,no,yes,no
Applied Data Scientist,India,Full Time,Senior-level,50000.0,"Excel,Finance,GitHub,Mathematics,R,SQL",no,no,no,yes,no
"Scientist, Decision Sciences",United States,Full Time,Senior-level,69000.0,"Big Data,Computer Science,Data analysis,Data management,Economics,Engineering",no,no,no,no,no
Data Scientist,"Amman, Amman Governorate, Jordan",Full Time,Entry-level,40000.0,"APIs,Architecture,Clustering,Computer Science,Data analysis,Data Analytics",no,no,no,no,no
Data Operations & Insights Manager,United Kingdom,Full Time,Mid-level,51000.0,"BigQuery,Data analysis,Data Analytics,DataOps,E-commerce,Engineering",no,no,no,no,no
